state_id,state_name,mandi_id,mandi_name,first_enam_trade_date
20,MADHYA PRADESH,407,DABRA,2018-10-01
20,MADHYA PRADESH,136,DAMOH,2018-10-01
20,MADHYA PRADESH,418,DATIA,2018-10-01
20,MADHYA PRADESH,4079,DALAUDA,2022-07-01
20,MADHYA PRADESH,395,DHAR,2018-10-01
20,MADHYA PRADESH,137,DEWAS,2018-10-01
20,MADHYA PRADESH,468,GADARWARA,2018-10-01
20,MADHYA PRADESH,4086,DEORI,2022-07-01
20,MADHYA PRADESH,389,GANJ BASODA,2018-10-01
20,MADHYA PRADESH,409,GUNA,2018-10-01
20,MADHYA PRADESH,4087,GARHAKOTA,2022-07-01
20,MADHYA PRADESH,3929,GAUTAMPURA,2022-07-01
20,MADHYA PRADESH,4166,GOTEGAON,2022-07-01
20,MADHYA PRADESH,138,HARDA,2018-10-01
20,MADHYA PRADESH,4096,HANUMANA,2022-07-01
20,MADHYA PRADESH,139,INDORE,2018-10-01
20,MADHYA PRADESH,3930,HARPALPUR,2022-07-01
20,MADHYA PRADESH,3917,HARSUD,2022-07-01
20,MADHYA PRADESH,140,JABALPUR,2018-10-01
20,MADHYA PRADESH,393,ITARSI,2018-10-01
20,MADHYA PRADESH,141,JAORA,2018-10-01
20,MADHYA PRADESH,4075,JABERA,2022-07-01
20,MADHYA PRADESH,3920,JOBAT,2022-07-01
20,MADHYA PRADESH,21,KAROND,2018-10-01
20,MADHYA PRADESH,4059,JHABUA,2022-07-01
20,MADHYA PRADESH,3921,KARERA,2022-07-01
20,MADHYA PRADESH,398,KHANDWA,2018-10-01
20,MADHYA PRADESH,415,KATNI,2018-10-01
20,MADHYA PRADESH,3923,KATANGI,2022-07-01
20,MADHYA PRADESH,397,KHARGONE,2018-10-01
20,MADHYA PRADESH,403,KHATEGAON,2018-10-01
20,MADHYA PRADESH,3922,KASRAWAD,2022-07-01
20,MADHYA PRADESH,392,KHIRKIYA,2018-10-01
20,MADHYA PRADESH,4060,KHETIYA,2022-07-01
20,MADHYA PRADESH,854,KRISHI UPAJ MANDI SAMITI-ANJAD,2020-05-01
20,MADHYA PRADESH,4097,KRISHI UPAJ MANDI SAMITI PATAN,2022-07-01
20,MADHYA PRADESH,849,KRISHI UPAJ MANDI SAMITI-BADWAHA,2020-05-01
20,MADHYA PRADESH,848,KRISHI UPAJ MANDI SAMITI-BANAPURA,2020-05-01
20,MADHYA PRADESH,852,KRISHI UPAJ MANDI SAMITI-BHIKANGAON,2020-05-01
20,MADHYA PRADESH,869,KRISHI UPAJ MANDI SAMITI-DHAMNOD,2020-05-01
20,MADHYA PRADESH,856,KRISHI UPAJ MANDI SAMITI-GANDHWANI,2020-05-01
